feature,importance_gain_mean,importance_gain_std,selected_in_n_folds
euc_elem_1890,0.6068587899208069,1.2137175798416138,1
cos_elem_1128,0.6066893756389617,1.2133787512779235,1
cos_elem_2377,0.6005899906158447,1.2011799812316895,1
cos_elem_2406,0.600455391407013,1.200910782814026,1
euc_elem_1708,0.5973163843154907,1.1946327686309814,1
cos_elem_2257,0.5936086058616639,1.1872172117233277,1
cos_elem_2449,0.5930439949035644,1.1860879898071288,1
euc_elem_2207,0.591884994506836,1.183769989013672,1
cos_elem_1254,0.5910900115966797,1.1821800231933595,1
cos_elem_2708,0.5903683960437774,1.1807367920875549,1
cos_elem_1720,0.5900775909423828,1.1801551818847653,1
cos_elem_994,0.5896316051483155,1.179263210296631,1
cos_elem_1271,0.5869175970554352,1.1738351941108705,1
euc_elem_1835,0.5862013936042786,1.1724027872085572,1
cos_elem_960,0.5850504145026207,1.1701008290052415,1
euc_elem_2748,0.581403386592865,1.16280677318573,1
cos_elem_3247,0.5806788086891175,1.161357617378235,1
euc_elem_3154,0.5805823862552643,1.1611647725105285,1
euc_elem_167,0.5794559955596924,1.1589119911193846,1
cos_elem_1905,0.5793599843978882,0.7254278791586767,2
euc_elem_92,0.5783679962158204,1.1567359924316405,1
euc_elem_223,0.5772037923336029,1.1544075846672057,1
cos_elem_1389,0.5767240047454834,1.1534480094909667,1
euc_elem_2372,0.5761831879615784,1.1523663759231568,1
cos_elem_153,0.5757543921470643,0.7107890672708762,2
cos_elem_1897,0.5743592023849488,1.1487184047698973,1
euc_elem_815,0.5742721945047379,1.1485443890094758,1
euc_elem_2472,0.5700124025344848,1.1400248050689696,1
euc_elem_600,0.5698105931282044,1.1396211862564087,1
cos_elem_3029,0.5688140153884887,1.1376280307769775,1
euc_elem_38,0.5678595930337906,0.6962938220019076,2
cos_elem_33,0.5666133999824524,1.133226799964905,1
cos_elem_328,0.5662289977073669,1.1324579954147338,1
euc_elem_695,0.5655751913785935,1.1311503827571867,1
euc_elem_2862,0.5643030047416687,1.1286060094833372,1
euc_elem_3196,0.5620567157864571,1.1241134315729142,1
euc_elem_891,0.5616071969270706,1.1232143938541412,1
cos_elem_1717,0.5597118020057679,1.1194236040115357,1
cos_elem_2846,0.5595103859901428,1.1190207719802854,1
euc_elem_2760,0.5588472008705139,1.1176944017410277,1
cos_elem_1821,0.557966810464859,1.115933620929718,1
cos_elem_1309,0.5570620059967041,1.1141240119934082,1
euc_elem_198,0.5563791990280151,1.1127583980560303,1
cos_elem_674,0.5558362126350402,1.1116724252700803,1
euc_elem_1360,0.5551233425736427,1.1102466851472854,1
cos_elem_1194,0.5536612033843994,1.1073224067687988,1
euc_elem_1899,0.5530159950256348,1.1060319900512696,1
euc_elem_3297,0.5515074014663697,1.1030148029327393,1
cos_elem_3198,0.55142160654068,1.10284321308136,1
cos_elem_1376,0.5496892124414444,1.0993784248828888,1
euc_elem_683,0.5453752100467681,1.0907504200935363,1
cos_elem_352,0.5452530145645141,1.0905060291290283,1
cos_elem_1673,0.5439481243491173,1.0878962486982346,1
cos_elem_1350,0.5437912225723267,1.0875824451446534,1
cos_elem_402,0.541588020324707,1.083176040649414,1
euc_elem_867,0.5415599822998047,1.0831199645996095,1
