feature,importance_split,importance_gain,importance_gain_norm,selected_in_n_folds
euc_elem_2286,17.6,46.09485279917717,0.0006364570641938974,5
cos_elem_731,13.0,46.07270824015141,0.0006361513020497636,5
cos_elem_1633,15.333333333333334,45.9010439713796,0.0006337810387796866,3
cos_elem_1679,14.5,45.69063459336758,0.0006308758004097577,2
cos_elem_653,15.4,45.641201278567316,0.0006301932473588082,5
cos_elem_2019,20.25,45.51711903139949,0.0006284799753131184,4
cos_elem_602,10.75,45.45502977818251,0.0006276226747378755,4
cos_elem_1655,25.0,45.39611977338791,0.0006268092717996652,1
cos_elem_2413,12.5,45.3828187584877,0.0006266256173484608,2
cos_elem_2087,6.0,45.32786953449249,0.000625866903096002,2
euc_elem_705,11.75,45.278596453368664,0.0006251865624798276,4
euc_elem_783,17.6,44.938997998833656,0.0006204975392537464,5
euc_elem_1481,16.666666666666668,44.931498020887375,0.000620393982920331,3
euc_elem_767,12.0,44.92866850271821,0.0006203549142018587,2
cos_elem_1246,19.0,44.85040587186813,0.0006192742988784094,1
cos_elem_2353,19.0,44.82658196489016,0.0006189453490505645,3
euc_elem_2640,11.5,44.76258160173893,0.0006180616607260558,2
euc_elem_1319,11.0,44.73172405858835,0.000617635593602956,3
cos_elem_2440,12.0,44.72114064097404,0.0006174894625168392,5
euc_elem_731,11.6,44.71962686181068,0.0006174685609327438,5
cos_elem_1911,15.5,44.71463702619076,0.0006173996635193317,2
euc_elem_917,16.6,44.68650398403406,0.0006170112150846247,5
euc_elem_2158,19.5,44.65190156549215,0.0006165334404008625,2
euc_elem_225,5.0,44.506508588790894,0.0006145259193548826,1
euc_elem_1560,18.8,44.38061309158802,0.0006127876107655469,5
cos_elem_2833,17.0,44.22189801931381,0.0006105961441958832,1
euc_elem_1657,21.4,44.205267165601256,0.0006103665128230476,5
euc_elem_3121,14.2,43.89675698876381,0.000606106742599258,5
cos_elem_2254,12.0,43.86448389291763,0.0006056611301590969,1
cos_elem_2889,19.0,43.80300842374563,0.0006048123044388019,5
euc_elem_3038,17.8,43.77858102023602,0.0006044750218013816,5
euc_elem_1470,9.4,43.66425271630287,0.0006028964278314089,5
cos_elem_1931,12.0,43.638373643159866,0.0006025391011904407,3
cos_elem_2676,20.75,43.61403854936361,0.0006022030931241621,4
cos_elem_1173,9.4,43.51599459052086,0.0006008493460913021,5
cos_elem_80,6.0,43.48427665233612,0.0006004113990192658,1
cos_elem_46,10.0,43.45641767978668,0.0006000267348148366,1
euc_elem_556,17.6,43.38030712902546,0.0005989758344485265,5
cos_elem_710,15.0,43.218965865671635,0.0005967481066096962,2
cos_elem_2661,16.0,43.07699127495289,0.0005947877851049795,1
cos_elem_3056,8.333333333333334,43.023254623015724,0.0005940458135039301,3
euc_elem_432,19.333333333333332,42.98821473618349,0.0005935619984541219,3
euc_elem_1762,18.0,42.96311503648758,0.0005932154330523362,1
cos_elem_2752,14.0,42.83282129466534,0.0005914163954729276,1
cos_elem_2637,13.2,42.738029485940935,0.0005901075526710381,5
euc_elem_1287,6.5,42.55664548277855,0.0005876030836656283,2
cos_elem_2893,13.5,42.504752323031425,0.0005868865661783441,2
euc_elem_2104,16.5,42.48091956228018,0.0005865574941015667,4
euc_elem_1856,10.8,42.4354336977005,0.0005859294456737124,5
cos_elem_2007,13.333333333333334,42.3580611795187,0.0005848611206269696,3
cos_elem_1588,18.0,42.074997931718826,0.0005809527101920607,1
cos_elem_2117,25.2,42.01722710430622,0.0005801550365044741,5
cos_elem_3048,11.5,41.94883246719837,0.000579210674015024,2
cos_elem_2366,14.4,41.84273020923138,0.0005777456616002057,5
cos_elem_673,18.0,41.76362693309784,0.0005766534390235241,2
cos_elem_2324,14.5,41.76229828968644,0.0005766350937108998,4
cos_elem_1996,16.4,41.754398432374,0.0005765260160224531,5
cos_elem_903,14.2,41.67363569736481,0.0005754108803815135,5
cos_elem_1079,17.4,41.665142726898196,0.000575293613252513,5
cos_elem_971,14.0,41.62163755297661,0.0005746929133133676,1
cos_elem_2286,15.0,41.49935423433781,0.0005730044800663884,5
cos_elem_655,14.25,41.49563226476312,0.0005729530887789742,4
cos_elem_2370,11.0,41.40048570930958,0.0005716393477932733,3
cos_elem_1228,5.0,41.349303498864174,0.0005709326467752452,1
euc_elem_19,17.75,41.29115819185972,0.000570129802441325,4
cos_elem_2,10.0,41.277138233184814,0.0005699362211367653,1
